STATE,YEAR,POPULATION
Nevada,1961," 315,000 "
New Hampshire,1961," 315,000 "
New Jersey,1961," 6,265,000 "
New Mexico,1961," 6,265,000 "
New York,1961," 17,061,000 "
North Carolina,1961," 4,663,000 "
North Dakota,1961," 641,000 "
Ohio,1961," 9,854,000 "
Oklahoma,1961," 2,380,000 "
Oregon,1961," 1,787,000 "
Pennsylvania,1961," 11,392,000 "
Rhode Island,1961," 858,000 "
South Carolina,1961," 2,409,000 "
South Dakota,1961," 693,000 "
Tennessee,1961," 3,622,000 "
Texas,1961," 9,820,000 "
District of Columbia,1961," 778,000 "
Utah,1961," 936,000 "
Vermont,1961," 390,000 "
Virginia,1961," 4,095,000 "
Washington,1961," 2,882,000 "
West Virginia,1961," 1,828,000 "
Wisconsin,1961," 4,009,000 "
Wyoming,1961," 337,000 "
Alaska,1962," 246,000 "
Alabama,1962," 3,323,000 "
Arkansas,1962," 1,853,000 "
Arizona,1962," 1,471,000 "
California,1962," 17,072,000 "
Colorado,1962," 1,899,000 "
Connecticut,1962," 2,647,000 "
Delaware,1962," 469,000 "
Florida,1962," 5,458,000 "
Georgia,1962," 4,086,000 "
Hawaii,1962," 684,000 "
Idaho,1962," 692,000 "
Illinois,1962," 10,280,000 "
Indiana,1962," 4,736,000 "
Iowa,1962," 2,750,000 "
Kansas,1962," 2,231,000 "
Kentucky,1962," 3,079,000 "
Louisiana,1962," 3,345,000 "
Maine,1962," 994,000 "
Maryland,1962," 3,263,000 "
Massachusetts,1962," 5,263,000 "
Michigan,1962," 7,933,000 "
Minnesota,1962," 3,513,000 "
Mississippi,1962," 2,243,000 "
Missouri,1962," 4,357,000 "
Montana,1962," 698,000 "
Nebraska,1962," 1,464,000 "
Nevada,1962," 352,000 "
New Hampshire,1962," 352,000 "
New Jersey,1962," 6,376,000 "
New Mexico,1962," 6,376,000 "
New York,1962," 17,301,000 "
North Carolina,1962," 4,707,000 "
North Dakota,1962," 637,000 "
Ohio,1962," 9,929,000 "
Oklahoma,1962," 2,427,000 "
Oregon,1962," 1,818,000 "
Pennsylvania,1962," 11,355,000 "
Rhode Island,1962," 871,000 "
South Carolina,1962," 2,423,000 "
South Dakota,1962," 705,000 "
Tennessee,1962," 3,673,000 "
Texas,1962," 10,053,000 "
District of Columbia,1962," 788,000 "
Utah,1962," 958,000 "
Vermont,1962," 393,000 "
Virginia,1962," 4,180,000 "
Washington,1962," 2,942,000 "
West Virginia,1962," 1,809,000 "
Wisconsin,1962," 4,049,000 "
Wyoming,1962," 333,000 "
Alaska,1963," 256,000 "
Alabama,1963," 3,358,000 "
Arkansas,1963," 1,875,000 "
Arizona,1963," 1,521,000 "
California,1963," 17,668,000 "
Colorado,1963," 1,936,000 "
